peso: 0.1            peso x: 0.0            peso y: 0.1
arrasto: 0.0            arrasto x: 0.0            arrasto y: 0.0
posicao: 728.6535            posicao x: 115.99691            posicao y: 719.36127


sustentacao: 0.09418231            sustentacao x: 0.0            sustentacao y: -0.09418231
peso: 0.1            peso x: 0.0            peso y: 0.1
arrasto: 0.0            arrasto x: 0.0            arrasto y: 0.0
posicao: 728.6107            posicao x: 115.996475            posicao y: 719.318


sustentacao: 0.094264455            sustentacao x: 0.0            sustentacao y: -0.094264455
peso: 0.1            peso x: 0.0            peso y: 0.1
arrasto: 0.0            arrasto x: 0.0            arrasto y: 0.0
posicao: 728.57355            posicao x: 115.99608            posicao y: 719.28046


sustentacao: 0.0943441            sustentacao x: 0.0            sustentacao y: -0.0943441
peso: 0.1            peso x: 0.0            peso y: 0.1
arrasto: 0.0            arrasto x: 0.0            arrasto y: 0.0
posicao: 728.54205            posicao x: 115.99573            posicao y: 719.2486


sustentacao: 0.09444012            sustentacao x: 0.0            sustentacao y: -0.09444012
peso: 0.1            peso x: 0.0            peso y: 0.1
arrasto: 0.0            arrasto x: 0.0            arrasto y: 0.0
posicao: 728.51605            posicao x: 115.995415            posicao y: 719.2223


sustentacao: 0.09453466            sustentacao x: 0.0            sustentacao y: -0.09453466
peso: 0.1            peso x: 0.0            peso y: 0.1
arrasto: 0.0            arrasto x: 0.0            arrasto y: 0.0
posicao: 728.4954            posicao x: 115.99517            posicao y: 719.2014


sustentacao: 0.09462319            sustentacao x: 0.0            sustentacao y: -0.09462319
peso: 0.1            peso x: 0.0            peso y: 0.1
arrasto: 0.0            arrasto x: 0.0            arrasto y: 0.0
posicao: 728.48004            posicao x: 115.99498            posicao y: 719.1859


sustentacao: 0.094716325            sustentacao x: 0.0            sustentacao y: -0.094716325
peso: 0.1            peso x: 0.0            peso y: 0.1
arrasto: 0.0            arrasto x: 0.0            arrasto y: 0.0
posicao: 728.47003            posicao x: 115.99486            posicao y: 719.1758


